date_report,province,cases,cumulative_cases
2020-04-08,Quebec,691,10031
2020-04-09,Quebec,881,10912
2020-04-10,Quebec,765,11677
2020-04-11,Quebec,615,12292
2020-04-12,Quebec,554,12846
2020-01-25,Repatriated,0,0
2020-01-26,Repatriated,0,0
2020-01-27,Repatriated,0,0
2020-01-28,Repatriated,0,0
2020-01-29,Repatriated,0,0
2020-01-30,Repatriated,0,0
2020-01-31,Repatriated,0,0
2020-02-01,Repatriated,0,0
2020-02-02,Repatriated,0,0
2020-02-03,Repatriated,0,0
2020-02-04,Repatriated,0,0
2020-02-05,Repatriated,0,0
2020-02-06,Repatriated,0,0
2020-02-07,Repatriated,0,0
2020-02-08,Repatriated,0,0
2020-02-09,Repatriated,0,0
2020-02-10,Repatriated,0,0
2020-02-11,Repatriated,0,0
2020-02-12,Repatriated,0,0
2020-02-13,Repatriated,0,0
2020-02-14,Repatriated,0,0
2020-02-15,Repatriated,0,0
2020-02-16,Repatriated,0,0
2020-02-17,Repatriated,0,0
2020-02-18,Repatriated,0,0
2020-02-19,Repatriated,0,0
2020-02-20,Repatriated,0,0
2020-02-21,Repatriated,0,0
2020-02-22,Repatriated,0,0
2020-02-23,Repatriated,0,0
2020-02-24,Repatriated,0,0
2020-02-25,Repatriated,0,0
2020-02-26,Repatriated,0,0
2020-02-27,Repatriated,0,0
2020-02-28,Repatriated,0,0
2020-02-29,Repatriated,0,0
2020-03-01,Repatriated,0,0
2020-03-02,Repatriated,0,0
2020-03-03,Repatriated,0,0
2020-03-04,Repatriated,0,0
2020-03-05,Repatriated,0,0
2020-03-06,Repatriated,0,0
2020-03-07,Repatriated,0,0
2020-03-08,Repatriated,0,0
2020-03-09,Repatriated,0,0
2020-03-10,Repatriated,0,0
2020-03-11,Repatriated,1,1
2020-03-12,Repatriated,0,1
2020-03-13,Repatriated,1,2
2020-03-14,Repatriated,2,4
2020-03-15,Repatriated,0,4
2020-03-16,Repatriated,4,8
2020-03-17,Repatriated,1,9
2020-03-18,Repatriated,0,9
2020-03-19,Repatriated,1,10
2020-03-20,Repatriated,2,12
2020-03-21,Repatriated,1,13
2020-03-22,Repatriated,0,13
2020-03-23,Repatriated,0,13
2020-03-24,Repatriated,0,13
2020-03-25,Repatriated,0,13
2020-03-26,Repatriated,0,13
2020-03-27,Repatriated,0,13
2020-03-28,Repatriated,0,13
2020-03-29,Repatriated,0,13
2020-03-30,Repatriated,0,13
2020-03-31,Repatriated,0,13
2020-04-01,Repatriated,0,13
2020-04-02,Repatriated,0,13
2020-04-03,Repatriated,0,13
2020-04-04,Repatriated,0,13
2020-04-05,Repatriated,0,13
2020-04-06,Repatriated,0,13
2020-04-07,Repatriated,0,13
2020-04-08,Repatriated,0,13
2020-04-09,Repatriated,0,13
2020-04-10,Repatriated,0,13
2020-04-11,Repatriated,0,13
2020-04-12,Repatriated,0,13
2020-01-25,Saskatchewan,0,0
2020-01-26,Saskatchewan,0,0
2020-01-27,Saskatchewan,0,0
2020-01-28,Saskatchewan,0,0
2020-01-29,Saskatchewan,0,0
2020-01-30,Saskatchewan,0,0
2020-01-31,Saskatchewan,0,0
2020-02-01,Saskatchewan,0,0
2020-02-02,Saskatchewan,0,0
2020-02-03,Saskatchewan,0,0
2020-02-04,Saskatchewan,0,0
2020-02-05,Saskatchewan,0,0
2020-02-06,Saskatchewan,0,0
2020-02-07,Saskatchewan,0,0
2020-02-08,Saskatchewan,0,0
2020-02-09,Saskatchewan,0,0
2020-02-10,Saskatchewan,0,0
2020-02-11,Saskatchewan,0,0
2020-02-12,Saskatchewan,0,0
2020-02-13,Saskatchewan,0,0
2020-02-14,Saskatchewan,0,0
2020-02-15,Saskatchewan,0,0
2020-02-16,Saskatchewan,0,0
2020-02-17,Saskatchewan,0,0
2020-02-18,Saskatchewan,0,0
2020-02-19,Saskatchewan,0,0
2020-02-20,Saskatchewan,0,0
2020-02-21,Saskatchewan,0,0
2020-02-22,Saskatchewan,0,0
2020-02-23,Saskatchewan,0,0
2020-02-24,Saskatchewan,0,0
2020-02-25,Saskatchewan,0,0
2020-02-26,Saskatchewan,0,0
2020-02-27,Saskatchewan,0,0
2020-02-28,Saskatchewan,0,0
2020-02-29,Saskatchewan,0,0
2020-03-01,Saskatchewan,0,0
2020-03-02,Saskatchewan,0,0
2020-03-03,Saskatchewan,0,0
2020-03-04,Saskatchewan,0,0
2020-03-05,Saskatchewan,0,0
2020-03-06,Saskatchewan,0,0
2020-03-07,Saskatchewan,0,0
2020-03-08,Saskatchewan,0,0
2020-03-09,Saskatchewan,0,0
2020-03-10,Saskatchewan,0,0
2020-03-11,Saskatchewan,0,0
2020-03-12,Saskatchewan,1,1
2020-03-13,Saskatchewan,1,2
2020-03-14,Saskatchewan,4,6
2020-03-15,Saskatchewan,0,6
2020-03-16,Saskatchewan,1,7
2020-03-17,Saskatchewan,1,8
2020-03-18,Saskatchewan,8,16
2020-03-19,Saskatchewan,4,20
2020-03-20,Saskatchewan,6,26
2020-03-21,Saskatchewan,18,44
2020-03-22,Saskatchewan,8,52
2020-03-23,Saskatchewan,14,66
2020-03-24,Saskatchewan,6,72
2020-03-25,Saskatchewan,14,86
2020-03-26,Saskatchewan,9,95
2020-03-27,Saskatchewan,9,104
2020-03-28,Saskatchewan,30,134
2020-03-29,Saskatchewan,22,156
2020-03-30,Saskatchewan,20,176
2020-03-31,Saskatchewan,8,184
2020-04-01,Saskatchewan,9,193
2020-04-02,Saskatchewan,13,206
2020-04-03,Saskatchewan,14,220
2020-04-04,Saskatchewan,11,231
2020-04-05,Saskatchewan,18,249
2020-04-06,Saskatchewan,4,253
2020-04-07,Saskatchewan,7,260
2020-04-08,Saskatchewan,11,271
2020-04-09,Saskatchewan,7,278
2020-04-10,Saskatchewan,7,285
2020-04-11,Saskatchewan,4,289
2020-04-12,Saskatchewan,9,298
2020-01-25,Yukon,0,0
2020-01-26,Yukon,0,0
2020-01-27,Yukon,0,0
2020-01-28,Yukon,0,0
2020-01-29,Yukon,0,0
2020-01-30,Yukon,0,0
2020-01-31,Yukon,0,0
2020-02-01,Yukon,0,0
2020-02-02,Yukon,0,0
2020-02-03,Yukon,0,0
2020-02-04,Yukon,0,0
2020-02-05,Yukon,0,0
2020-02-06,Yukon,0,0
2020-02-07,Yukon,0,0
2020-02-08,Yukon,0,0
2020-02-09,Yukon,0,0
2020-02-10,Yukon,0,0
2020-02-11,Yukon,0,0
2020-02-12,Yukon,0,0
2020-02-13,Yukon,0,0
2020-02-14,Yukon,0,0
2020-02-15,Yukon,0,0
2020-02-16,Yukon,0,0
2020-02-17,Yukon,0,0
2020-02-18,Yukon,0,0
2020-02-19,Yukon,0,0
2020-02-20,Yukon,0,0
2020-02-21,Yukon,0,0
2020-02-22,Yukon,0,0
2020-02-23,Yukon,0,0
2020-02-24,Yukon,0,0
2020-02-25,Yukon,0,0
2020-02-26,Yukon,0,0
2020-02-27,Yukon,0,0
2020-02-28,Yukon,0,0
2020-02-29,Yukon,0,0
2020-03-01,Yukon,0,0
2020-03-02,Yukon,0,0
2020-03-03,Yukon,0,0
2020-03-04,Yukon,0,0
2020-03-05,Yukon,0,0
2020-03-06,Yukon,0,0
2020-03-07,Yukon,0,0
2020-03-08,Yukon,0,0
2020-03-09,Yukon,0,0
2020-03-10,Yukon,0,0
2020-03-11,Yukon,0,0
2020-03-12,Yukon,0,0
2020-03-13,Yukon,0,0
2020-03-14,Yukon,0,0
2020-03-15,Yukon,0,0
2020-03-16,Yukon,0,0
2020-03-17,Yukon,0,0
2020-03-18,Yukon,0,0
2020-03-19,Yukon,0,0
2020-03-20,Yukon,0,0
2020-03-21,Yukon,0,0
2020-03-22,Yukon,2,2
2020-03-23,Yukon,0,2
2020-03-24,Yukon,0,2
2020-03-25,Yukon,1,3
2020-03-26,Yukon,0,3
2020-03-27,Yukon,1,4
2020-03-28,Yukon,0,4
2020-03-29,Yukon,0,4
2020-03-30,Yukon,1,5
2020-03-31,Yukon,0,5
2020-04-01,Yukon,1,6
2020-04-02,Yukon,0,6
2020-04-03,Yukon,0,6
2020-04-04,Yukon,0,6
2020-04-05,Yukon,0,6
2020-04-06,Yukon,1,7
2020-04-07,Yukon,0,7
2020-04-08,Yukon,1,8
2020-04-09,Yukon,0,8
2020-04-10,Yukon,0,8
2020-04-11,Yukon,0,8
2020-04-12,Yukon,0,8
